Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0-4,147265,144125,141248,138810,136966,135415,134335,133699,133212,132426,131562,130573,129277
5-9,162223,159074,155736,152278,148952,145786,142658,139765,137289,135435,133887,132826,132255
10-14,169876,168786,167377,165618,163114,160276,157153,153805,150327,147007,143864,140776,137955
15-19,174894,172571,170190,167679,167123,166442,165428,164057,162321,159870,157096,154050,150817
20-24,169816,168283,167197,166605,164753,162785,160818,158758,156561,156336,155955,155218,154131
25-29,159601,158323,157384,156344,154786,153413,152330,151664,151480,150072,148537,146984,145325
30-34,173069,166492,160403,155561,152230,150214,149100,148300,147399,146025,144851,143978,143522
35-39,184006,183716,182458,179596,174938,168939,162364,156263,151402,148077,146083,145010,144263
40-44,188800,186201,183651,181708,180670,180285,179888,178512,175559,170887,164939,158466,152483
45-49,178921,181828,184224,185363,184906,183118,180542,177990,176034,175002,174639,174291,172997
50-54,172994,170861,169220,168831,169989,172356,175228,177572,178681,178262,176569,174134,171745
55-59,157055,161258,164453,166236,166328,165001,163047,161545,161249,162472,164874,167774,170184
60-64,126204,130241,134405,138677,143141,147688,151856,155034,156854,157072,155945,154229,152968
65-69,87687,90694,93974,97372,100807,104285,107816,111429,115123,118977,122899,126500,129279
70-74,70892,71350,72166,73523,75472,77941,80820,83934,87157,90418,93716,97065,100503
75-79,54026,55089,56042,56859,57506,58046,58657,59569,60943,62812,65108,67739,70572
80+,59715,61340,63059,64848,66717,68674,70666,72627,74533,76354,78148,80016,82098
