0-4,152724,149459,146461,143916,141981,140358,139230,138566,138062,137250,136364,135355,134024
5-9,167894,164692,161293,157768,154373,151127,147913,144931,142378,140450,138838,137726,137112
10-14,175171,174113,172734,171005,168515,165685,162560,159198,155696,152333,149128,145955,143033
15-19,177050,175552,174016,172365,171899,171314,170396,169115,167466,165071,162330,159291,156034
20-24,168767,167213,166187,165739,164801,163770,162765,161681,160466,160446,160241,159647,158666
25-29,157235,155807,154811,153739,152235,150961,150036,149601,149726,149376,148890,148377,147739
30-34,173305,165730,158738,153203,149445,147240,146112,145382,144567,143344,142343,141676,141478
35-39,186137,185797,184299,181016,175727,168908,161440,154531,149061,145369,143234,142175,141513
40-44,187662,185821,184044,182690,182019,181837,181460,179915,176610,171369,164654,157331,150574
45-49,178801,180453,181854,182492,182107,180854,179095,177369,176048,175423,175291,174985,173545
50-54,172518,170653,169097,168432,168863,170152,171839,173244,173898,173593,172469,170875,169335
55-59,154406,157889,160488,161919,161986,160912,159293,157941,157427,157977,159353,161115,162627
60-64,119701,123723,127687,131580,135456,139240,142604,145122,146547,146751,145938,144657,143657
65-69,66473,69410,72480,75530,78491,81377,84188,86938,89628,92320,94957,97314,99103
70-74,47546,48261,49282,50726,52624,54908,57459,60110,62741,65319,67852,70340,72804
75-79,31668,32398,33077,33719,34306,34868,35523,36412,37630,39207,41082,43166,45342
80+,26229,27141,28084,29027,29979,30953,31930,32884,33815,34729,35660,36676,37859
